gene,dNdS,Interacting?,Pval
FBXW7,0.02972702,Interacting,0.1166143
FBXW8,0.2032617,Non-interacting,1
FBXW9,0.3040901,Non-interacting,0.000451273
FCAMR,0.678347,Interacting,0.007329211
FCAR,0.6992522,Interacting,0.6626554
FCER1A,0.8689496,Interacting,3.98E-05
FCER1G,3.616651,Non-interacting,4.01E-26
FCER2,0.5508933,Interacting,0.000562151
FCGBP,0.2711448,Non-interacting,1.41E-09
FCGR3A,0.8835594,Interacting,8.70E-06
FCGR3B,0.8796211,Non-interacting,1.21E-05
FCGRT,6.024049,Interacting,1.48E-17
FCHO1,0.1751297,Non-interacting,1
FCHO2,0.3058406,Interacting,4.65E-20
FCHSD1,0.218283,Interacting,0.359644
FCHSD2,0.08680628,Interacting,0.4079743
FCRL1,0.5869907,Interacting,0.001170811
FCRL3,0.8302466,Interacting,3.13E-14
FCRL4,0.6647867,Interacting,0.03145153
FCRL6,1.051424,Non-interacting,1.34E-06
FCRLA,0.5149215,Interacting,0.008245306
FCRLB,0.5233596,Interacting,0.007338726
FDCSP,1.008765,Non-interacting,0.009656346
FDFT1,0.05752786,Non-interacting,0.05569244
FDX1,0.4151351,Non-interacting,0.02881149
FDX2,0.1806582,Non-interacting,0.2790896
FDXACB1,0.4657182,Interacting,0.08878026
FDXR,0.2160326,Non-interacting,0.2993948
FECH,0.1967005,Non-interacting,1
FEM1A,0.02418149,Interacting,1
FEM1B,0.01608917,Interacting,0.9807201
FEM1C,0.007036713,Interacting,1
FEN1,0.04130702,Interacting,1
FER,0.1299674,Interacting,0.07781334
FER1L5,0.2989146,Non-interacting,0.0382916
FER1L6,0.1619903,Non-interacting,0.01852346
FERD3L,0.1514699,Non-interacting,1
FERMT2,0.01397504,Interacting,1
FERMT3,0.03226998,Interacting,0.3678484
FES,0.07162287,Interacting,0.6731115
FETUB,0.8724342,Non-interacting,4.19E-11
FEV,0.02226891,Interacting,1
FEZ1,0.0463943,Non-interacting,0.5402352
FEZ2,0.2143607,Non-interacting,0.004948878
FEZF1,0.2200403,Non-interacting,0.5346764
FEZF2,0.04267105,Non-interacting,0.2738504
FFAR2,0.186403,Non-interacting,0.1349489
FFAR3,0.213037,Non-interacting,0.1679669
FFAR4,0.1463684,Non-interacting,0.393153
FGB,0.3252846,Interacting,0.003818373
FGD1,0.1260211,Non-interacting,0.1563758
FGD2,0.1129969,Non-interacting,0.2805173
FGD3,0.2186119,Non-interacting,0.07408847
FGD4,0.2592046,Non-interacting,0.002663163
FGD5,0.3010288,Non-interacting,1.88E-06
FGD6,0.31681,Non-interacting,0.05794714
FGF1,0.06728333,Non-interacting,0.3312912
FGF10,0.06637198,Interacting,1
FGF11,0.1141549,Interacting,1
FGF12,0.2455625,Interacting,1
FGF14,0.3000794,Non-interacting,3.68E-20
FGF16,0.08772727,Interacting,0.446466
FGF17,0.03801843,Interacting,1
FGF18,0.01536058,Interacting,1
FGF19,0.1150046,Non-interacting,1
FGF2,0.7030423,Interacting,2.58E-05
FGF22,0.2097824,Interacting,0.06036041
FGF23,0.2687448,Non-interacting,0.009559897
FGF3,0.18735,Interacting,1
FGF4,0.1283116,Interacting,1
FGF5,0.1765318,Interacting,0.4753528
FGF6,0.08624675,Interacting,0.09531692
FGF7,0.08422051,Interacting,0.5380874
FGF8,0.06528807,Interacting,0.35527
FGF9,0.0241913,Non-interacting,1
FGFBP1,0.5148026,Non-interacting,0.3757355
FGFBP2,0.5380364,Non-interacting,0.03447533
FGFBP3,0.1926938,Non-interacting,1
FGFR1,0.02276127,Interacting,0.6207677
FGFR1OP,0.2436971,Non-interacting,1
FGFR1OP2,0,Non-interacting,1
FGFR2,0.08924054,Interacting,0.002065151
FGFR3,0.08037375,Interacting,0.000329064
FGFR4,0.09474812,Interacting,0.0204764
FGFRL1,0.08356972,Interacting,0.01168195
FGG,0.2999309,Interacting,1.55E-05
FGGY,0.1584755,Non-interacting,0.1536964
FGL2,0.1422297,Non-interacting,0.1661012
FGR,0.1302749,Interacting,0.3737248
FHDC1,0.3823174,Non-interacting,0.000480238
FHIT,0.1950544,Non-interacting,0.1180611
FHL1,0.2490648,Interacting,2.56E-07
FHL5,0.2321761,Non-interacting,0.1859597
FHOD1,0.3159174,Non-interacting,4.19E-10
FHOD3,0.1163517,Non-interacting,0.716923
FIBIN,0.1391728,Non-interacting,1
FIBP,0.04153352,Non-interacting,0.2915483
FICD,0.09100221,Non-interacting,0.4256008
FIG4,0.06755169,Non-interacting,1
FIGN,0.03045539,Non-interacting,1
FIGNL1,0.3220268,Interacting,0.1693032
FIGNL2,0.7527311,Interacting,0.01372399
FILIP1,0.07374794,Non-interacting,0.07141378
FILIP1L,0.2068032,Non-interacting,0.3317481
FIP1L1,0.01210756,Non-interacting,1
FIS1,0.09404605,Non-interacting,1
FITM1,0.07603484,Non-interacting,1
FITM2,0.1417795,Non-interacting,0.5806816
FIZ1,0.07370363,Interacting,0.8690179
FJX1,0.09513776,Non-interacting,0.05896668
FKBP10,0.0820996,Interacting,1
FKBP11,0.141201,Interacting,1
FKBP14,0.1087987,Non-interacting,0.308875
FKBP15,0.3527521,Interacting,0.139531
FKBP1A,0.1667339,Interacting,1
FKBP1B,0.39684,Interacting,0.7182351
FKBP2,0.05022857,Non-interacting,1
FKBP3,0.08579195,Non-interacting,1
FKBP4,0.1675283,Interacting,0.3086135
FKBP5,0.194048,Interacting,0.5511876
FKBP6,0.1996935,Non-interacting,0.332668
FKBP7,0.2170045,Non-interacting,0.7575715
FKBP8,0.03871429,Interacting,1
FKBP9,0.1742616,Non-interacting,1
FKBPL,0.3923324,Interacting,0.6898277
FKRP,0.04316129,Non-interacting,1
FKTN,0.2330917,Non-interacting,0.8775995
FLAD1,0.1695397,Interacting,0.3356844
FLCN,0.09782211,Non-interacting,1
FLG,0.770822,Non-interacting,2.81E-05
FLG2,0.8222073,Non-interacting,3.90E-33
FLI1,0.05077232,Non-interacting,0.2996238
FLII,0.06001815,Non-interacting,1
FLOT1,0.06217152,Non-interacting,0.4736087
FLOT2,0.02551313,Non-interacting,0.7011271
FLRT1,0.01328527,Non-interacting,1
FLRT2,0.04852879,Non-interacting,1
FLRT3,0.08155008,Non-interacting,0.02227415
FLT1,0.2178195,Interacting,0.2462005
FLT3,0.1794025,Interacting,0.5660562
FLT3LG,0.6197198,Interacting,0.000370752
FLT4,0.1190897,Interacting,0.000484154
FLVCR1,0.2576848,Non-interacting,1
FLVCR2,0.1677543,Non-interacting,0.709395
FLYWCH1,0.1473589,Non-interacting,0.3823021
FLYWCH2,0.2065113,Non-interacting,0.04728484
FMC1,0.2790088,Non-interacting,1
FMN1,0.5261758,Non-interacting,2.45E-115
FMN2,0.2702787,Non-interacting,1.44E-06
FMO2,0.3420412,Non-interacting,0.03771769
FMO3,0.3526881,Non-interacting,0.01120118
FMO4,0.3420412,Non-interacting,0.03771769
FMO5,0.2875549,Non-interacting,0.76627
FMOD,0.06329972,Non-interacting,1
FMR1,0.07022759,Non-interacting,1
FMR1NB,1.300306,Non-interacting,6.19E-08
FN1,0.128055,Interacting,4.91E-10
FN3K,0.1026429,Non-interacting,0.2295803
FN3KRP,0.1755665,Non-interacting,0.3591755
FNBP1,0.4121856,Interacting,2.31E-21
FNBP1L,0.2769181,Interacting,5.80E-18
FNBP4,0.2235605,Interacting,0.7403218
FNDC10,0.1254866,Non-interacting,0.005127484
FNDC11,0.1014057,Non-interacting,0.000495031
FNDC3A,0.1699958,Non-interacting,0.7285513
FNDC3B,0.09371918,Interacting,0.6668829
FNDC4,0.09853097,Non-interacting,0.2437626
FNDC5,0.06632597,Interacting,0.000319457
FNDC7,0.2473329,Interacting,1.73E-06
FNDC8,0.3810776,Non-interacting,0.03250786
FNDC9,0.2214489,Non-interacting,0.007631107
FNIP1,0.1549785,Non-interacting,0.9248645
FNIP2,0.3170232,Non-interacting,0.003319775
FNTB,0.08410326,Non-interacting,0.07870639
FOCAD,0.2510806,Non-interacting,0.1579575
FOLR1,0.2901452,Non-interacting,0.1625287
FOLR2,0.1882897,Non-interacting,0.2098064
FOPNL,0.4334512,Non-interacting,0.01014483
FOS,0.06335356,Non-interacting,0.325108
FOSB,0.08448739,Non-interacting,0.3991983
FOSL1,0.1395919,Non-interacting,1
FOSL2,0.07597611,Non-interacting,0.08857186
FOXA1,0.02890848,Non-interacting,1
FOXA2,0.01580349,Non-interacting,0.415039
FOXA3,0.06309429,Non-interacting,0.1160316
FOXB1,0.007339416,Non-interacting,1
FOXC1,0.08164916,Interacting,0.1760815
FOXC2,0.01903901,Non-interacting,1
FOXD2,0.1129189,Non-interacting,0.191988
FOXD3,0.03122581,Non-interacting,1
FOXD4L1,0.3974167,Non-interacting,0.03672589
FOXD4L2,0.6088309,Non-interacting,7.22E-09
FOXD4L3,0.5841005,Non-interacting,6.43E-08
FOXD4L4,0.608125,Non-interacting,5.82E-09
FOXD4L5,0.5599069,Non-interacting,1.27E-07
FOXD4L6,0.5867328,Non-interacting,5.09E-08
FOXE1,0.0754027,Non-interacting,0.7980655
FOXE3,0.1277604,Non-interacting,0.2901873
FOXF1,0.02647674,Non-interacting,1
FOXF2,0.08857664,Non-interacting,1
FOXG1,0.09915542,Non-interacting,0.09906822
FOXH1,0.2402459,Non-interacting,0.04378193
FOXI1,0.08485146,Non-interacting,1
FOXI2,0.3318694,Non-interacting,3.55E-05
FOXJ1,0.07334442,Non-interacting,0.000245679
FOXJ2,0.1340192,Non-interacting,0.4262702
FOXJ3,0.105374,Non-interacting,0.6362833
FOXK2,0.1112553,Non-interacting,0.5778152
FOXL1,0.2137101,Non-interacting,0.004242047
FOXL2,0.01618219,Non-interacting,1
FOXL2NB,0.8643136,Non-interacting,1
FOXM1,0.4263446,Non-interacting,0.08471905
FOXN1,0.1305951,Non-interacting,0.5818857
FOXN2,0.157981,Non-interacting,0.3440009
FOXN3,0.09580612,Non-interacting,1
FOXN4,0.1373743,Non-interacting,1
FOXO4,0.1916726,Interacting,1
FOXO6,0.2063831,Non-interacting,9.40E-05
FOXP1,0.1685369,Non-interacting,8.27E-09
FOXP2,0.2788288,Non-interacting,0.01104947
FOXP3,0.2297374,Non-interacting,0.00239976
FOXP4,0.05103387,Non-interacting,1
FOXR1,0.5570102,Non-interacting,0.0002804
FOXR2,0.6899774,Non-interacting,0.7492362
FOXRED1,0.3840569,Non-interacting,0.002651391
FOXRED2,0.1952804,Non-interacting,0.005402767
FOXS1,0.2620155,Non-interacting,0.4175644
FPGS,0.4948135,Non-interacting,6.10E-09
FPGT,0.2156409,Non-interacting,0.6935867
FPR2,0.3226205,Non-interacting,0.000641007
FPR3,0.8182686,Non-interacting,0.02017539
FRA10AC1,0.1712955,Non-interacting,1
FRAS1,0.2545564,Non-interacting,0.001494821
FRAT1,0.2784265,Non-interacting,0.3289046
FRAT2,0.1361355,Non-interacting,0.09413835
FREM2,0.1705514,Non-interacting,0.1250953
FREM3,0.4466349,Non-interacting,0.000399937
FRG1,0.1663852,Non-interacting,1
FRK,0.2326163,Interacting,1
FRMD1,0.3775317,Interacting,0.02290708
FRMD3,0.07592913,Interacting,0.082077
FRMD4A,0.01976153,Interacting,0.467984
FRMD4B,0.1106357,Interacting,0.188763
FRMD5,0.1420335,Interacting,6.59E-06
FRMD6,0.08325203,Interacting,0.7323245
FRMD7,0.3202258,Interacting,0.1460478
FRMD8,0.1074753,Interacting,0.06302565
FRMPD3,0.1564462,Interacting,0.04724404
FRMPD4,0.115405,Interacting,0.01531553
FRRS1,0.3006667,Non-interacting,0.1254495
FRRS1L,0.1845836,Non-interacting,0.08106077
FRS3,0.1127844,Non-interacting,1
FRY,0.05676455,Non-interacting,0.8226705
FRYL,0.1156761,Non-interacting,1
FRZB,0.05644242,Non-interacting,1
FSBP,0.3487176,Non-interacting,0.01539301
FSCB,1.01587,Non-interacting,5.68E-05
FSCN1,0.01014807,Non-interacting,1
FSCN3,0.2656228,Non-interacting,0.01532118
FSD1,0.09523218,Non-interacting,0.3572571
FSD1L,0.05214286,Non-interacting,1
FSD2,0.2857631,Non-interacting,0.1155786
FSHR,0.2441952,Interacting,0.1879439
FSIP1,0.7550326,Non-interacting,2.13E-05
FST,0.05231126,Non-interacting,1
FSTL1,0.05810131,Non-interacting,1
FSTL3,0.115916,Non-interacting,0.6778008
FSTL4,0.1959952,Interacting,0.310667
FSTL5,0.1192651,Non-interacting,0.1746016
FTCD,0.1055635,Non-interacting,1
FTCDNL1,0.2770669,Non-interacting,0.2041587
FTMT,0.2891958,Interacting,0.5420997
FTSJ3,0.2307327,Non-interacting,0.01099683
FUBP1,0.01630949,Interacting,0.5527374
FUCA1,0.3660749,Non-interacting,0.257395
FUCA2,0.3533623,Non-interacting,0.07079521
FUK,0.1995221,Non-interacting,0.02098288
FUNDC1,0.3189241,Non-interacting,0.5769215
FUNDC2,0.4381164,Non-interacting,0.004272588
FUOM,0.2316854,Non-interacting,0.3420727
FURIN,0.05028878,Non-interacting,0.1253208
FUT10,0.2099848,Non-interacting,0.1081764
FUT11,0.1556393,Non-interacting,0.4216104
FUT2,0.2338438,Non-interacting,0.008765083
FUT3,0.2483706,Non-interacting,0.01508931
FUT4,0.1871157,Non-interacting,1
FUT5,0.2792426,Non-interacting,0.04345956
FUT7,0.2132624,Non-interacting,0.001179436
FUT8,0.03455422,Interacting,1
FUT9,0.0161727,Non-interacting,1
FUZ,0.2163014,Non-interacting,1
FXN,0.3356507,Non-interacting,0.6550552
FXR1,0.02940496,Non-interacting,0.03802454
FXR2,0.07291791,Interacting,0.1372279
FXYD1,0.4284943,Non-interacting,0.1153206
FXYD2,0.3218387,Non-interacting,1
FXYD3,0.9545571,Non-interacting,1.54E-06
FXYD4,0.3571566,Non-interacting,1
FXYD5,0.8017765,Non-interacting,0.02136844
FXYD6,0.2061628,Non-interacting,0.3026138
FXYD7,1.313841,Non-interacting,0.006126329
FYCO1,0.2749361,Non-interacting,9.68E-06
FYN,0.1585353,Interacting,7.67E-17
FYTTD1,0.1708522,Non-interacting,1
FZD1,0.0132102,Non-interacting,1
FZD10,0.02312392,Non-interacting,1
FZD2,0.008716606,Non-interacting,0.02321713
FZD3,0.03139483,Non-interacting,1
FZD4,0.03319374,Non-interacting,1
FZD5,0.01475214,Non-interacting,1
FZD6,0.1958484,Non-interacting,0.06450144
FZD7,0.01015619,Non-interacting,1
FZD8,0.06491821,Non-interacting,0.9278296
FZD9,0.03139483,Non-interacting,1
FZR1,0.01464503,Non-interacting,1
G0S2,0.1783431,Non-interacting,0.4434084
G2E3,0.2345564,Non-interacting,0.03232438
G3BP2,0.06042094,Interacting,1
G6PC,0.2245959,Non-interacting,0.02863111
G6PC2,0.2703654,Non-interacting,0.01460515
G6PD,0.06939417,Non-interacting,0.3095099
GAA,0.1669737,Non-interacting,0.00309142
GABARAPL1,0.3552435,Non-interacting,0.04043771
GABBR1,0.02032289,Interacting,1
GABBR2,0.0672859,Non-interacting,1
GABPA,0.0594325,Interacting,1
GABPB2,0.353069,Interacting,0.3115541
GABRA1,0.06033698,Interacting,0.3390717
GABRA2,0.02989461,Non-interacting,0.900774
GABRA3,0.07078659,Non-interacting,1
GABRA4,0.219444,Interacting,0.3580418
GABRA5,0.03651485,Non-interacting,0.9680533
GABRA6,0.1115747,Non-interacting,1
GABRB1,0.04431629,Interacting,1
GABRB2,0,Interacting,1
GABRB3,0.02272589,Interacting,0.005268675
GABRD,0.0122413,Interacting,0.3325794
GABRE,0.4038861,Interacting,0.004570217
GABRG1,0.05805991,Interacting,1
GABRG2,0.1108098,Interacting,1.11E-09
GABRP,0.1244483,Interacting,0.05923433
GABRQ,0.5372227,Interacting,0.000897534
GABRR1,0.04567292,Interacting,1
GABRR2,0.09262232,Non-interacting,0.004052706
GABRR3,0.3209506,Interacting,0.373778
GAD1,0.1591419,Non-interacting,0.4424006
GAD2,0.05558763,Non-interacting,1
GADD45A,0.04464655,Non-interacting,1
GADD45B,0.08476119,Non-interacting,0.4960476
GADD45G,0.02262893,Non-interacting,1
GADD45GIP1,0.2305306,Non-interacting,1
GADL1,0.109165,Non-interacting,0.2894371
GAGE1,2.054776,Non-interacting,2.26E-05
GAGE10,2.005095,Non-interacting,1.01E-07
GAGE12B,1.955086,Non-interacting,6.84E-05
GAGE12F,1.958647,Non-interacting,6.74E-05
GAGE12G,1.958647,Non-interacting,5.69E-05
GAGE12H,1.973966,Non-interacting,8.91E-07
GAGE12I,1.958647,Non-interacting,5.69E-05
GAGE12J,2.119534,Non-interacting,5.04E-05
GAGE13,2.325491,Non-interacting,7.66E-08
GAGE2D,1.958647,Non-interacting,5.69E-05
GAGE2E,1.724876,Non-interacting,2.73E-05
GAGE4,2.054776,Non-interacting,2.13E-05
GAGE5,2.325491,Non-interacting,7.66E-08
GAGE6,1.958647,Non-interacting,5.69E-05
GAGE7,1.983759,Non-interacting,5.69E-05
GAK,0.1516641,Interacting,0.2684082
GAL,0.4064954,Non-interacting,0.008309751
GAL3ST1,0.07929976,Non-interacting,0.02559643
GAL3ST2,0.1697713,Non-interacting,0.04215092
GAL3ST3,0.02233023,Non-interacting,1
GAL3ST4,0.5930228,Non-interacting,0.0306621
GALC,0.2302921,Non-interacting,0.01851952
GALE,0.09250287,Interacting,0.06225131
GALK1,0.115926,Non-interacting,0.1705862
GALK2,0.3258795,Non-interacting,0.05679689
GALM,0.1728872,Non-interacting,0.1132115
GALNS,0.117666,Non-interacting,1
GALNT10,0.04472545,Non-interacting,0.00174584
GALNT12,0.2161226,Non-interacting,0.004566288
GALNT13,0.06596948,Non-interacting,5.30E-06
GALNT14,0.1536867,Non-interacting,0.009732837
GALNT15,0.6467377,Non-interacting,0.009412625
GALNT16,0.03933667,Non-interacting,0.1167027
GALNT18,0.0467483,Non-interacting,1
GALNT2,0.05002457,Non-interacting,1
GALNT3,0.1616904,Non-interacting,1
GALNT5,0.418067,Interacting,0.009706404
GALNT6,0.1175925,Non-interacting,0.00954643
GALNT7,0.09588817,Non-interacting,0.5123179
GALNT8,0.4943561,Non-interacting,0.02131407
GALNT9,0.04197015,Non-interacting,0.0595499
GALNTL5,0.6469946,Non-interacting,0.009395715
GALNTL6,0.05721631,Non-interacting,1
GALP,0.5536667,Non-interacting,0.09560911
GALR1,0.1040444,Non-interacting,0.1164489
GALR2,0.09181395,Non-interacting,1
GALR3,0.08856474,Non-interacting,1
GALT,0.2209067,Non-interacting,0.2160977
GAMT,0.6125024,Non-interacting,4.02E-10
GAN,0.02460989,Interacting,0.7766237
GANC,0.2759499,Non-interacting,0.6439494
GAP43,0.7646584,Non-interacting,1.12E-15
GAPDHS,0.245098,Non-interacting,0.01274169
GAPT,0.9198217,Non-interacting,0.006221935
GAPVD1,0.03759396,Non-interacting,0.4032182
GAREM1,0.1124122,Non-interacting,0.0382223
GAREM2,0.1981948,Non-interacting,1
GARNL3,0.2664422,Non-interacting,8.82E-13
GARS,0.1875854,Non-interacting,0.1567507
GART,0.2168644,Interacting,0.002249624
GAS1,0.05853179,Non-interacting,1
GAS2,0.1155255,Non-interacting,0.4162248
GAS2L1,0.289678,Non-interacting,0.000129758
GAS2L2,0.5040444,Non-interacting,0.000564364
GAS2L3,0.2845339,Non-interacting,0.2304749
GAS6,0.128133,Non-interacting,0.08466011
GAS7,0.04501923,Interacting,0.7576899
GAS8,0.07417073,Non-interacting,0.1221271
GAST,0.519098,Non-interacting,0.4420806
GATA1,0.1659066,Non-interacting,0.1425285
GATA2,0.01711207,Interacting,0.7197233
GATA4,0.1014596,Non-interacting,0.1764229
GATA5,0.2034987,Non-interacting,0.1836132
GATA6,0.1276873,Interacting,1
GATAD1,0.1334185,Non-interacting,1
GATAD2A,0.08716032,Non-interacting,0.06876444
GATAD2B,0.1364265,Non-interacting,0.000130506
GATB,0.2666799,Non-interacting,0.1847758
GATC,0.1283548,Non-interacting,0.2600471
GATD1,0.1980198,Non-interacting,1.90E-07
GATM,0.1605108,Non-interacting,1
GATS,0.1831871,Non-interacting,1
GATSL1,0.147049,Non-interacting,0.1312875
GBA,0.2083051,Non-interacting,0.006317717
GBA2,0.2532336,Non-interacting,0.7628895
GBA3,0.3697253,Non-interacting,5.84E-05
GBE1,0.1274066,Non-interacting,0.2912028
GBF1,0.1087269,Non-interacting,1
GBGT1,0.2601326,Non-interacting,0.2239702
GBP5,0.6799761,Non-interacting,0.001301886
GBX1,0.1694265,Non-interacting,0.3093324
GBX2,0.1081753,Interacting,0.1261161
GC,0.2740823,Non-interacting,0.4816381
GCA,0.7213041,Non-interacting,0.001749929
GCAT,0.145581,Non-interacting,1
GCC1,0.1268785,Non-interacting,0.7116585
GCC2,0.3737852,Non-interacting,2.38E-07
GCDH,0.1051452,Non-interacting,1
GCFC2,0.4357255,Non-interacting,0.000132846
GCG,0.1956333,Non-interacting,0.3259158
GCGR,0.1364,Non-interacting,0.03156059
GCH1,0.1835992,Interacting,1
GCHFR,0.1156667,Interacting,0.9007931
GCK,0.03553712,Non-interacting,0.008539757
GCKR,0.07500118,Non-interacting,0.483971
GCLC,0.05546154,Non-interacting,0.06116169
GCLM,0.05555603,Non-interacting,1
GCM1,0.3080161,Non-interacting,0.7178107
GCM2,0.3966576,Non-interacting,0.3962771
GCN1,0.06277344,Non-interacting,1
GCNA,1.100799,Non-interacting,3.60E-06
GCNT3,0.3022763,Non-interacting,0.008000921
GCNT4,0.1506887,Non-interacting,0.5397647
GCNT7,0.614875,Non-interacting,3.15E-05
GCSAM,0.8198418,Non-interacting,7.86E-08
GCSAML,0.5601724,Non-interacting,0.08858615
GDA,0.1862191,Non-interacting,1
GDAP1,0.1015702,Non-interacting,0.4256883
GDAP1L1,0.06273716,Non-interacting,1
GDAP2,0.07881361,Non-interacting,0.4090143
GDE1,0.2214057,Non-interacting,0.5352854
GDF1,0.1951243,Non-interacting,1
GDF10,0.1209221,Non-interacting,1
GDF11,0.1887542,Non-interacting,0.1020339
GDF15,0.3350446,Non-interacting,0.1012007
GDF2,0.1626769,Non-interacting,0.1425994
GDF3,0.3700888,Non-interacting,0.670505
GDF5,0.1092048,Non-interacting,1
GDF5OS,0.2498514,Non-interacting,0.9754373
GDF6,0.1342026,Non-interacting,0.147939
GDF7,0.2032595,Non-interacting,0.02514016
GDF9,0.3083158,Non-interacting,0.07671472
GDI1,0.03012731,Non-interacting,1
GDI2,0.07598349,Non-interacting,1
GDNF,0.2985829,Non-interacting,1
GDPD1,0.1240857,Non-interacting,0.8665318
GDPD2,0.3619202,Non-interacting,0.2646889
GDPD3,0.2415533,Non-interacting,1
GDPD4,1.004236,Non-interacting,1.18E-16
GDPD5,0.07234286,Non-interacting,0.4658385
GDPGP1,0.3154922,Non-interacting,1
GEMIN2,0.4348387,Non-interacting,0.6365641
GEMIN4,0.1872923,Non-interacting,0.003207818
GEMIN5,0.2546321,Non-interacting,0.8659666
GEMIN6,0.3410759,Non-interacting,1
GEN1,0.4543076,Non-interacting,0.02619289
GET4,0.02610469,Non-interacting,1
GFAP,1.729213,Non-interacting,0.001399965
GFER,0.1733526,Interacting,1
GFI1,0.09066587,Interacting,1
GFI1B,0.09296923,Interacting,1
GFM1,0.1591265,Non-interacting,0.3788815
GFM2,0.3115154,Non-interacting,0.006744592
GFOD1,0.01198955,Non-interacting,1
GFOD2,0.1431604,Non-interacting,1
GFPT1,0.08741765,Non-interacting,0.004059225
GFPT2,0.05156975,Non-interacting,0.3004617
GFRA2,0.04913086,Non-interacting,0.8631134
GFRA3,0.2380894,Non-interacting,0.6632197
GFRA4,0.467571,Non-interacting,4.25E-09
GFRAL,0.5181157,Non-interacting,0.4390576
GFY,0.6225918,Non-interacting,1
GGA3,0.1946828,Interacting,0.1514086
GGACT,0.1191429,Non-interacting,1
GGCT,0.3198212,Non-interacting,0.06367561
GGCX,0.1869155,Non-interacting,1
GGH,0.8088103,Non-interacting,6.39E-10
GGN,0.4747743,Non-interacting,1
GGNBP2,0.1187985,Non-interacting,0.8364576
GGT1,0.1434419,Non-interacting,0.006750943
GGT2,0.1434419,Non-interacting,0.006750943
GGT5,0.2280124,Non-interacting,0.01057091
GGT6,0.5388683,Non-interacting,0.004563239
GGT7,0.07180363,Non-interacting,0.2484984
GGTLC1,0.1937206,Non-interacting,0.3499104
GGTLC2,0.1915232,Non-interacting,0.2396442
GGTLC3,0.149052,Non-interacting,0.005623477
GH2,0.6302184,Non-interacting,0.01998411
GHDC,0.4467529,Non-interacting,0.001630421
GHR,0.4072205,Interacting,0.05322788
GHRH,0.25975,Non-interacting,0.1010324
GHRHR,0.343871,Non-interacting,0.004975022
GHRL,0.4528018,Non-interacting,0.004521808
GHSR,0.05369103,Non-interacting,1
GID4,0.2830492,Non-interacting,0.5500889
GID8,0.06170149,Non-interacting,1
GIF,0.0508866,Non-interacting,0.01267411
GIGYF1,0.07360759,Non-interacting,1
GIGYF2,0.09300621,Non-interacting,0.001624407
GIMAP2,0.5876951,Non-interacting,0.2590258
GIMAP5,0.6443675,Non-interacting,9.42E-10
GIMAP6,0.3688419,Non-interacting,0.1288886
GIMAP7,0.8080168,Non-interacting,0.00033651
GIMAP8,0.7523208,Non-interacting,5.99E-10
GIMD1,0.3441493,Non-interacting,0.9192328
GIN1,0.1496551,Interacting,1
GINM1,0.2990206,Non-interacting,0.4364516
GINS1,0.1453289,Interacting,1
GINS3,0.08493488,Non-interacting,1
GINS4,0.1629636,Interacting,0.151905
GIP,0.4069605,Non-interacting,0.1512812
GIPC3,0.08181271,Non-interacting,0.310333
GIPR,0.1655882,Non-interacting,0.09144376
GIT1,0.04264829,Interacting,0.1931978
GIT2,0.117879,Interacting,0.08050386
GJA1,0.03886096,Non-interacting,0.001145637
GJA10,0.3885111,Non-interacting,0.9812897
GJA3,0.09182367,Non-interacting,0.8998639
GJA4,0.05558258,Non-interacting,0.4446645
GJA5,0.1343324,Non-interacting,0.001279482
GJA8,0.1086308,Non-interacting,1
GJA9,0.4321764,Non-interacting,0.08582327
GJB1,0.006427562,Non-interacting,1
GJB2,0.04661504,Non-interacting,0.32733
GJB4,0.07934082,Non-interacting,0.1796866
GJB5,0.278861,Non-interacting,0.000864814
GJB6,0.03796154,Non-interacting,0.2439976
GJB7,0.29889,Non-interacting,0.3919609
GJC1,0.0297364,Non-interacting,0.4562088
GJC2,0.03831954,Non-interacting,0.08478191
GJC3,0.4368779,Non-interacting,1
GJD2,0.02255486,Non-interacting,1
GJD3,0.1832136,Non-interacting,0.2204884
GJD4,0.326489,Non-interacting,0.01570716
GK2,0.3258817,Non-interacting,0.05679607
GK5,0.295262,Non-interacting,0.03740838
GKAP1,0.09170492,Non-interacting,0.8184435
GKN1,0.6543229,Non-interacting,4.81E-06
GKN2,0.5170765,Non-interacting,0.4907333
GLA,0.8088106,Non-interacting,6.35E-12
GLB1,0.525997,Non-interacting,8.78E-07
GLB1L,0.3527081,Non-interacting,0.0851632
GLB1L2,0.2176283,Non-interacting,0.5688384
GLCCI1,0.3000165,Non-interacting,0.03558888
GLCE,0.07204854,Non-interacting,1
GLDC,0.1014178,Non-interacting,0.430999
GLDN,0.1783797,Non-interacting,0.307154
GLG1,0.0664849,Non-interacting,0.3376462
GLI3,0.1324383,Interacting,1
GLI4,0.1143867,Non-interacting,0.6709765
GLIPR1,0.5964297,Non-interacting,0.001163268
GLIPR1L1,0.6436637,Non-interacting,0.08612675
GLIPR1L2,0.6478338,Non-interacting,0.001810139
GLIPR2,0.03983221,Non-interacting,1
GLIS2,0.08263758,Non-interacting,1
GLIS3,0.1972564,Interacting,0.991044
GLMP,0.2848649,Non-interacting,0.001605758
GLO1,0.230907,Non-interacting,0.9222164
GLP1R,0.1121879,Non-interacting,1
GLP2R,0.3012073,Non-interacting,0.09625762
GLRA1,0.109836,Interacting,1
GLRA2,0.03503091,Interacting,1
GLRA3,0.02821945,Interacting,1
