gene,Pval corrected,Int?
GPRC5B,0.071900083,Non-interacting
PRSS36,0.071900083,Interacting
CNOT4,0.072014331,Non-interacting
OR1F1,0.072073476,Non-interacting
TRMT44,0.072081545,Non-interacting
DCDC2C,0.072127923,Non-interacting
CHST7,0.072226676,Non-interacting
RBM15B,0.072226676,Non-interacting
ZCCHC2,0.072320365,Non-interacting
CCL14,0.07240181,Interacting
INSC,0.072422908,Non-interacting
KIAA0556,0.072422908,Non-interacting
ZDHHC4,0.072717255,Non-interacting
HSD3B7,0.072736096,Interacting
SUCO,0.072822009,Non-interacting
GH2,0.072879217,Non-interacting
THUMPD3,0.072961881,Non-interacting
MSX1,0.072978699,Interacting
SPTB,0.072978699,Interacting
LNPEP,0.073004407,Non-interacting
MIPEP,0.073045948,Interacting
DUSP8,0.073194747,Interacting
ARHGAP8,0.073199596,Non-interacting
OR51H1,0.073356185,Non-interacting
DRC3,0.073412536,Non-interacting
FPR3,0.073412536,Non-interacting
SOX12,0.073412536,Non-interacting
MTERF4,0.073548775,Non-interacting
PIK3R3,0.073659574,Interacting
C20orf141,0.073718274,Non-interacting
MUT,0.073756779,Non-interacting
TBC1D1,0.073777501,Non-interacting
DNAJC28,0.073808277,Non-interacting
PSMA1,0.073808277,Non-interacting
BCL9L,0.073861061,Non-interacting
GLYATL2,0.073869471,Interacting
MED21,0.07400211,Non-interacting
MRTO4,0.074220184,Non-interacting
FGFR4,0.074256831,Interacting
MAP6,0.074256831,Non-interacting
PDLIM4,0.074256831,Non-interacting
CPOX,0.074311845,Non-interacting
N4BP3,0.074400491,Non-interacting
OSBP,0.074554007,Non-interacting
RAB6B,0.074554007,Interacting
KRT3,0.074593003,Non-interacting
ZMYND15,0.074986657,Non-interacting
CSF1R,0.075057844,Interacting
OR2A12,0.075151898,Non-interacting
TRPV4,0.075152517,Interacting
PLA2G16,0.075282192,Non-interacting
SLC37A2,0.075453849,Non-interacting
AQP5,0.075581726,Non-interacting
CMIP,0.075734021,Non-interacting
PLCB2,0.075734021,Interacting
SPATA9,0.075734021,Non-interacting
FUK,0.075734956,Non-interacting
KCNA6,0.075734956,Interacting
OR51A7,0.075734956,Non-interacting
TUBA8,0.075734956,Interacting
ASCC2,0.075844807,Non-interacting
RPUSD2,0.075907114,Non-interacting
RXFP1,0.075907114,Non-interacting
USB1,0.075907114,Non-interacting
CIITA,0.076560026,Non-interacting
USP31,0.07660181,Non-interacting
SLC28A2,0.076671094,Non-interacting
CBWD1,0.076718521,Non-interacting
CBWD2,0.076718521,Non-interacting
GALNT8,0.076718521,Non-interacting
TBX10,0.076718521,Non-interacting
FBXL14,0.076744988,Interacting
FXYD5,0.076860682,Non-interacting
NRBP1,0.076903768,Interacting
PRSS54,0.076903768,Non-interacting
OGFOD2,0.077240716,Non-interacting
DPP7,0.077291929,Non-interacting
NFXL1,0.077322998,Non-interacting
MORC4,0.077333349,Non-interacting
SCARF1,0.077333349,Non-interacting
OR9G1,0.077344821,Non-interacting
C17orf75,0.077347063,Non-interacting
TTC14,0.077397746,Non-interacting
CPO,0.077454002,Non-interacting
TXNDC16,0.077491257,Non-interacting
SFRP5,0.077690175,Non-interacting
FAM198B,0.077692977,Non-interacting
TTC29,0.077775271,Interacting
AIF1L,0.077807255,Non-interacting
GPR146,0.077949342,Non-interacting
TCTE1,0.077971992,Non-interacting
OR51I2,0.078110965,Interacting
NPIPA3,0.078336859,Non-interacting
ALS2,0.07838345,Non-interacting
OR51B5,0.078467195,Non-interacting
CD79B,0.078533336,Interacting
BCAP29,0.078554591,Non-interacting
CABLES1,0.078554591,Interacting
ZNF207,0.078554591,Non-interacting
CD63,0.078585518,Non-interacting
SMAP,0.078630007,Non-interacting
MAEL,0.078638004,Interacting
EDIL3,0.078668943,Interacting
PIGS,0.078668943,Non-interacting
RBM15,0.078668943,Interacting
SNX14,0.078668943,Non-interacting
SUSD6,0.078668943,Interacting
OBSCN-AS1,0.078692722,Non-interacting
ABCC1,0.078795977,Interacting
OR4F15,0.078803028,Non-interacting
SP7,0.078812286,Non-interacting
MYRFL,0.078856676,Non-interacting
ITGA3,0.078891248,Non-interacting
DNLZ,0.079055279,Non-interacting
FBXL3,0.079055279,Non-interacting
USP54,0.079055279,Non-interacting
TM4SF19,0.079108386,Non-interacting
GSG1L2,0.079207727,Non-interacting
ECI2,0.07922402,Non-interacting
FLRT3,0.07922402,Non-interacting
NRCAM,0.079364084,Interacting
OR2AJ1,0.079364084,Non-interacting
SLC17A3,0.079370552,Non-interacting
GZMM,0.079418344,Interacting
GPC1,0.079418437,Non-interacting
CCDC142,0.079439237,Non-interacting
ADH7,0.079440301,Non-interacting
KMT5A,0.079440301,Non-interacting
AGAP2,0.079598443,Interacting
AQP6,0.079598443,Non-interacting
COPE,0.079598443,Non-interacting
PTPRB,0.079598443,Interacting
AP2A2,0.079687091,Interacting
LGSN,0.079687091,Non-interacting
MFSD11,0.079687091,Non-interacting
VSIG1,0.079741298,Interacting
SART1,0.079755732,Non-interacting
HEATR5B,0.079855017,Non-interacting
LYPD5,0.079971924,Non-interacting
DNASE2B,0.080133273,Non-interacting
ICE2,0.080236362,Non-interacting
SPICE1,0.08029666,Non-interacting
YTHDF2,0.080368001,Non-interacting
XPA,0.080410239,Non-interacting
WDR27,0.080419679,Non-interacting
ZBBX,0.080559342,Non-interacting
EMILIN2,0.080603236,Non-interacting
GPR39,0.080838294,Interacting
NPIPA1,0.080843987,Non-interacting
FAM217A,0.080883186,Non-interacting
FRMD1,0.080883186,Interacting
KRT17,0.080892887,Non-interacting
NOL3,0.080971543,Non-interacting
PERP,0.081157704,Non-interacting
SMPD3,0.081157704,Non-interacting
DCDC2,0.081164652,Non-interacting
RTL10,0.081235484,Non-interacting
KCTD8,0.081359086,Interacting
TMEM44,0.081484498,Non-interacting
FAAH2,0.081493652,Non-interacting
C12orf57,0.081512876,Non-interacting
SGK2,0.081685089,Interacting
TRMT61B,0.081685089,Non-interacting
FZD2,0.08170944,Non-interacting
IDO2,0.08170944,Non-interacting
PRRC2C,0.081720253,Interacting
DMAC1,0.081765636,Non-interacting
TMBIM4,0.081765636,Non-interacting
ALS2CL,0.081939197,Non-interacting
ASPDH,0.081939197,Non-interacting
PRSS50,0.081939197,Non-interacting
KDM4A,0.082066688,Interacting
OOSP2,0.082066688,Non-interacting
DDX43,0.082096114,Interacting
GPM6B,0.082132583,Non-interacting
MRPS35,0.082132811,Non-interacting
CDKL3,0.082299203,Interacting
C8orf58,0.082313881,Non-interacting
LNP,0.082340553,Non-interacting
NUSAP1,0.082340553,Non-interacting
ARHGEF12,0.082352022,Interacting
CC2D2A,0.08277243,Non-interacting
CLK1,0.082826615,Interacting
CES5A,0.083010602,Non-interacting
ZHX1-C8orf76,0.083010602,Non-interacting
WFDC10A,0.083045713,Non-interacting
ANKZF1,0.08307265,Interacting
CXorf57,0.083120541,Non-interacting
OR8B2,0.083190456,Non-interacting
RELB,0.083359803,Interacting
SORCS1,0.083452925,Non-interacting
TRPV2,0.083545373,Interacting
ANP32D,0.083565863,Non-interacting
HSPB2,0.083675229,Non-interacting
ADTRP,0.083806525,Non-interacting
UBR7,0.083881895,Non-interacting
TMC8,0.084099915,Non-interacting
EFHB,0.084162191,Non-interacting
EFCAB2,0.08449948,Non-interacting
C16orf92,0.084576712,Non-interacting
ZNF461,0.084584326,Non-interacting
RBMX2,0.084629231,Interacting
AQP8,0.084703555,Non-interacting
OR4C12,0.08471598,Non-interacting
RTCA,0.084883405,Non-interacting
TIMM21,0.084929279,Non-interacting
BROX,0.085043959,Non-interacting
C10orf55,0.085043959,Non-interacting
NFATC1,0.085168831,Interacting
DAPK1,0.085183604,Interacting
CAMKMT,0.085593696,Non-interacting
EHD1,0.085595114,Non-interacting
NDUFS7,0.085595114,Non-interacting
IWS1,0.085925606,Non-interacting
PLA2G4D,0.086126518,Non-interacting
ZC3H7B,0.086204581,Interacting
ARMC12,0.086239914,Non-interacting
SHPK,0.086397686,Non-interacting
ZNF71,0.08652807,Non-interacting
CD53,0.086545481,Non-interacting
C1orf94,0.086622975,Non-interacting
THOC2,0.086713073,Non-interacting
PGBD4,0.086750253,Non-interacting
JPH1,0.086841843,Non-interacting
MRPL24,0.086841843,Non-interacting
MOSPD2,0.086870953,Non-interacting
AP3S1,0.086918884,Non-interacting
PLP2,0.087063927,Non-interacting
FBXO39,0.087080484,Non-interacting
GDF7,0.087140916,Non-interacting
WNT8A,0.087573434,Non-interacting
C11orf74,0.087779861,Non-interacting
RAB8B,0.087910993,Interacting
C15orf65,0.088044176,Non-interacting
SH2D5,0.088100957,Non-interacting
GAL3ST1,0.088599386,Non-interacting
HPX,0.088859278,Non-interacting
IQGAP2,0.088859278,Non-interacting
SDC4,0.088859278,Non-interacting
TMEM25,0.088859278,Non-interacting
SAMSN1,0.088931765,Interacting
KRT20,0.088970407,Non-interacting
OSGIN1,0.088970407,Non-interacting
LDAH,0.089005332,Non-interacting
ITIH2,0.08919599,Interacting
XK,0.089386872,Non-interacting
CEACAM19,0.089430756,Interacting
IL6ST,0.089550181,Interacting
ZFYVE16,0.089641218,Non-interacting
CLMN,0.089644209,Non-interacting
TMEM41B,0.089644209,Non-interacting
EMC10,0.089666373,Non-interacting
LDB3,0.089666373,Interacting
NOL4L,0.089666373,Non-interacting
PPP1R42,0.089822599,Non-interacting
ALB,0.089950819,Interacting
RHOG,0.089950819,Interacting
FAM180B,0.090149709,Non-interacting
FBN2,0.090149709,Non-interacting
GEN1,0.090149709,Non-interacting
LETM1,0.090149709,Non-interacting
LACTB,0.090302269,Non-interacting
FAM217B,0.090380754,Non-interacting
HLA-DOB,0.090380754,Interacting
NAT6,0.090380754,Non-interacting
PRELID2,0.090380754,Non-interacting
ZNF699,0.090380754,Non-interacting
PROKR1,0.09053367,Interacting
LHFPL3,0.090595276,Non-interacting
CHD4,0.090607193,Interacting
MRPL14,0.09078615,Non-interacting
PHLDB3,0.090877625,Non-interacting
ASTE1,0.090911704,Non-interacting
NISCH,0.090911704,Non-interacting
PRR25,0.091397042,Non-interacting
COL15A1,0.091590189,Non-interacting
TGM5,0.091704692,Non-interacting
SYNM,0.091775365,Non-interacting
AK5,0.091852852,Non-interacting
DMWD,0.091852852,Non-interacting
KDM4E,0.091852852,Non-interacting
SRC,0.091852852,Interacting
SYNCRIP,0.091864617,Interacting
KCTD15,0.09219499,Non-interacting
RTN4RL1,0.09219499,Interacting
SLC7A6,0.09219499,Non-interacting
ZNF547,0.09219499,Interacting
UBE2Q2,0.092225201,Interacting
KRTAP29-1,0.092246132,Non-interacting
KPNA1,0.092319633,Non-interacting
C7orf50,0.092425571,Non-interacting
CCDC102B,0.092803501,Non-interacting
ACAD9,0.092825318,Non-interacting
ARL6IP5,0.092825318,Non-interacting
CHIA,0.092825318,Non-interacting
PRICKLE3,0.092825318,Non-interacting
SNX16,0.092825318,Non-interacting
LCLAT1,0.092833852,Non-interacting
ARSA,0.093031596,Non-interacting
MCTP1,0.093272603,Non-interacting
ARHGAP30,0.093296443,Non-interacting
MYBPH,0.093308169,Interacting
LRRC69,0.093363623,Non-interacting
DNAJC24,0.093529192,Non-interacting
WDR11,0.093536871,Non-interacting
NCOA7,0.093647471,Non-interacting
NSUN7,0.093647471,Non-interacting
HSPA6,0.093660906,Non-interacting
SH3BP5L,0.093809132,Non-interacting
FAM46A,0.093857202,Non-interacting
MMP7,0.094027064,Non-interacting
SLC4A8,0.094027064,Non-interacting
SNED1,0.094027064,Interacting
TMEM247,0.094027064,Non-interacting
PPP1R32,0.094051844,Non-interacting
SCN4B,0.094051844,Interacting
IRAK3,0.0942237,Interacting
GOLT1A,0.094356039,Non-interacting
ZNF512B,0.094385208,Interacting
SLFN14,0.094411851,Non-interacting
TDO2,0.094448395,Non-interacting
CD300E,0.094475622,Interacting
AP2A1,0.09454627,Interacting
C1orf87,0.094555993,Non-interacting
SPRR2A,0.094630457,Interacting
UPB1,0.09469051,Non-interacting
HPR,0.094787624,Non-interacting
LRRC56,0.094827854,Non-interacting
PHACTR4,0.09483984,Non-interacting
OR6V1,0.095123487,Non-interacting
C11orf95,0.095180223,Non-interacting
DEFB128,0.095180223,Non-interacting
PRELID3B,0.095233286,Non-interacting
CDC25A,0.09529675,Non-interacting
MFSD3,0.095410639,Non-interacting
PALB2,0.095560577,Non-interacting
PINX1,0.095791455,Non-interacting
PLA2R1,0.095898765,Interacting
HSD17B8,0.096010962,Interacting
SH3GLB2,0.096254731,Interacting
ZNF343,0.096341452,Non-interacting
CCL22,0.09635671,Interacting
AP2M1,0.096440158,Non-interacting
TMIE,0.096440158,Non-interacting
NABP2,0.09646878,Non-interacting
SPRTN,0.09646878,Non-interacting
G6PC,0.09662435,Non-interacting
FBXO47,0.096825278,Non-interacting
PSMB10,0.096825278,Non-interacting
TUBAL3,0.096938911,Interacting
AWAT2,0.097047532,Non-interacting
XG,0.097047532,Non-interacting
FDX1,0.097099467,Non-interacting
PSMD11,0.097099467,Non-interacting
UGT3A1,0.097099467,Non-interacting
DFNA5,0.097130639,Non-interacting
NDUFS3,0.097241668,Non-interacting
KIF25,0.097270841,Non-interacting
ZNF451,0.097318715,Non-interacting
C20orf196,0.09742044,Non-interacting
RAB20,0.097479966,Non-interacting
C3orf67,0.097517696,Non-interacting
VPS51,0.097517696,Non-interacting
LONRF2,0.097847156,Interacting
SVOPL,0.097903877,Non-interacting
RRP36,0.097959498,Non-interacting
PRSS23,0.098191073,Non-interacting
KCNH7,0.098235587,Non-interacting
CMKLR1,0.098276141,Interacting
TINAG,0.098276141,Non-interacting
ITIH6,0.098279118,Non-interacting
PIPOX,0.098364381,Non-interacting
EXPH5,0.098408873,Non-interacting
FAM122B,0.09848226,Non-interacting
CASP12,0.098503265,Interacting
OR10A5,0.098557352,Non-interacting
DDT,0.098731825,Non-interacting
SLC25A40,0.098901996,Non-interacting
KRT79,0.099311361,Non-interacting
UBE2J2,0.099440391,Non-interacting
BCAS1,0.099540477,Non-interacting
H1FNT,0.099540477,Non-interacting
TLX1,0.099540477,Non-interacting
MYOM2,0.099561403,Interacting
OR5A2,0.099656169,Non-interacting
KLRG1,0.099706701,Interacting
DRAM2,0.099973207,Non-interacting
IRF9,0.100046617,Interacting
MOS,0.100105285,Interacting
TP53AIP1,0.100308052,Non-interacting
STAP2,0.100316243,Non-interacting
CHMP2B,0.100385268,Interacting
VPS39,0.100444276,Non-interacting
CLEC9A,0.100455771,Interacting
CDC42BPG,0.100480615,Interacting
TTC19,0.100606053,Interacting
SMPD2,0.100688553,Non-interacting
TRPM5,0.100957324,Non-interacting
SNX32,0.101167466,Interacting
MCRS1,0.101398025,Non-interacting
KCNK17,0.10159934,Non-interacting
AMMECR1L,0.101602123,Non-interacting
SLC26A5,0.101612151,Non-interacting
TBXAS1,0.101612151,Non-interacting
UGT1A10,0.101796617,Non-interacting
CCDC39,0.101837518,Non-interacting
SLC17A9,0.101837518,Non-interacting
DEFB135,0.101847369,Non-interacting
HSP90B1,0.101872525,Non-interacting
SERPINA12,0.101889851,Interacting
GAL3ST4,0.101939229,Non-interacting
MENT,0.101939229,Non-interacting
SPG11,0.101939229,Non-interacting
UTRN,0.101939229,Interacting
ANKMY1,0.102060571,Interacting
LYAR,0.102060571,Non-interacting
SLC15A5,0.102128893,Non-interacting
ACVR1B,0.102266448,Interacting
COL28A1,0.102266448,Interacting
IGSF21,0.102266448,Interacting
PRR20A,0.102266448,Non-interacting
PRR20C,0.102266448,Non-interacting
PRR20D,0.102266448,Non-interacting
HNRNPA2B1,0.102276301,Interacting
VARS,0.102420635,Interacting
XYLT1,0.102420635,Non-interacting
RPAP1,0.102449636,Non-interacting
ZNF23,0.102449636,Non-interacting
WDR63,0.10267926,Non-interacting
MMP28,0.102709184,Interacting
CNTFR,0.103148371,Interacting
DNAH10,0.103181851,Non-interacting
TCL1A,0.103181851,Non-interacting
FAM19A4,0.103303058,Non-interacting
PAQR7,0.103430209,Non-interacting
TPRN,0.103430209,Non-interacting
RGS7,0.103440405,Non-interacting
C2orf88,0.103501974,Non-interacting
CAPG,0.103501974,Non-interacting
CLK4,0.103501974,Interacting
MST1,0.103531743,Non-interacting
AAK1,0.103555816,Interacting
SYNGR4,0.103583083,Non-interacting
ZNF316,0.103599604,Interacting
SETD6,0.103751726,Non-interacting
FCRL4,0.10380322,Interacting
MTX3,0.10380322,Non-interacting
CD69,0.103852928,Interacting
HECW1,0.103852928,Non-interacting
KIAA1211,0.103852928,Non-interacting
KLHDC7A,0.103852928,Non-interacting
PALM2,0.103852928,Non-interacting
SENP5,0.103852928,Non-interacting
TEKT4,0.103852928,Non-interacting
USPL1,0.103863387,Non-interacting
GCGR,0.103934083,Non-interacting
PCOTH,0.103934083,Non-interacting
NODAL,0.103998611,Non-interacting
SCAMP2,0.104062717,Non-interacting
GYG2,0.104197428,Non-interacting
TOR1AIP2,0.104197428,Non-interacting
ZEB2,0.104197428,Non-interacting
PNPLA2,0.104221211,Non-interacting
PDS5A,0.104257018,Non-interacting
GMIP,0.104364408,Interacting
PHLDA2,0.104561016,Non-interacting
ABCF3,0.104572212,Interacting
PRKAG3,0.104790646,Non-interacting
THOC5,0.104790646,Non-interacting
TXNRD2,0.104790646,Non-interacting
ENDOV,0.104873591,Non-interacting
PTPRA,0.104873591,Non-interacting
ZZEF1,0.104873591,Non-interacting
CYP2R1,0.104955866,Non-interacting
POMT1,0.104955866,Non-interacting
ISPD,0.104984203,Non-interacting
SLC39A5,0.104999413,Non-interacting
HELZ2,0.105077882,Non-interacting
STK39,0.105185746,Interacting
KIF14,0.105428854,Non-interacting
VSIG10L,0.105624585,Non-interacting
G2E3,0.105867294,Non-interacting
SLC38A3,0.105926331,Non-interacting
PRR20B,0.10605013,Non-interacting
EI24,0.106058142,Non-interacting
LCT,0.106065528,Non-interacting
FASTKD5,0.106185911,Non-interacting
KRTAP10-7,0.106204256,Non-interacting
ACADSB,0.106282248,Non-interacting
FNDC8,0.106282248,Non-interacting
SPTBN4,0.106553363,Interacting
SLC29A4,0.106560696,Non-interacting
CNOT2,0.106780042,Non-interacting
DUSP18,0.106890089,Interacting
DYDC1,0.106940062,Non-interacting
TNPO2,0.107189057,Non-interacting
CDON,0.10722014,Interacting
PBXIP1,0.107342855,Non-interacting
CYTH3,0.107372749,Non-interacting
CHMP4A,0.107431534,Non-interacting
SCAPER,0.107455818,Non-interacting
SEMA4B,0.107650215,Non-interacting
ZNF322,0.107650215,Non-interacting
ZNF620,0.107712441,Non-interacting
TRIM22,0.107819904,Interacting
WWC3,0.107929047,Non-interacting
ANXA4,0.108007622,Non-interacting
TMC5,0.10810619,Non-interacting
ZNF787,0.108112247,Interacting
ZNF563,0.108184025,Non-interacting
PDHA1,0.108302799,Non-interacting
PTBP2,0.108381825,Interacting
CCS,0.108443406,Interacting
MAN2B1,0.108443406,Non-interacting
SERTAD3,0.108449772,Non-interacting
IFIT2,0.108500772,Non-interacting
EMC1,0.108556238,Non-interacting
KCTD21,0.108556238,Interacting
OR4F4,0.108556238,Non-interacting
SH3BP4,0.108556238,Interacting
NUDCD1,0.108602312,Non-interacting
STEAP1B,0.108602312,Non-interacting
OR4F17,0.108647845,Non-interacting
ACAD10,0.108943866,Non-interacting
RTEL1,0.109109519,Non-interacting
TCEANC,0.109208535,Non-interacting
KRT78,0.109309162,Non-interacting
METTL16,0.109416425,Non-interacting
CTSW,0.109477309,Non-interacting
PCF11,0.109477309,Interacting
ZNF14,0.109477309,Non-interacting
TEFM,0.109500858,Non-interacting
DHX57,0.10962594,Non-interacting
EXTL1,0.109677231,Non-interacting
FAM83B,0.109798036,Non-interacting
USP40,0.109798036,Non-interacting
ARHGEF18,0.110017938,Non-interacting
CHST14,0.110017938,Non-interacting
FBLN2,0.110169548,Non-interacting
IL17REL,0.110169548,Non-interacting
R3HCC1L,0.110169548,Non-interacting
SLC15A4,0.110186981,Non-interacting
GRAMD2A,0.110436094,Non-interacting
MISP,0.110436094,Non-interacting
SYNGR2,0.110606977,Non-interacting
RHNO1,0.110618713,Non-interacting
POLE,0.110623598,Non-interacting
DISP1,0.11070787,Non-interacting
C1QTNF6,0.11071244,Non-interacting
CCDC155,0.11071244,Non-interacting
SLC19A1,0.11071244,Non-interacting
ZC4H2,0.11071244,Non-interacting
C19orf84,0.110713879,Non-interacting
TRIML1,0.110875312,Non-interacting
FGFBP2,0.111137479,Non-interacting
KIAA0754,0.11143099,Non-interacting
ESR2,0.111471328,Interacting
PHLPP2,0.11151938,Non-interacting
TIMD4,0.111614244,Interacting
ELAC2,0.111891871,Non-interacting
PSMC5,0.111891871,Interacting
TMEM18,0.11191079,Non-interacting
OR2D2,0.111965776,Non-interacting
ZNF286A,0.111976853,Interacting
LMF1,0.111985902,Non-interacting
PRSS53,0.111985902,Interacting
COQ2,0.112218498,Non-interacting
NEIL3,0.112218498,Non-interacting
PPEF2,0.112218498,Non-interacting
SERPINB5,0.112218498,Non-interacting
PKN1,0.112248458,Interacting
PPFIA4,0.112450532,Interacting
BSN,0.112555155,Non-interacting
MOBP,0.112562807,Non-interacting
RNLS,0.112783231,Non-interacting
SLC27A6,0.112783231,Non-interacting
MSR1,0.112811691,Non-interacting
NUDT8,0.112811691,Interacting
PBRM1,0.112811691,Interacting
MNX1,0.113003135,Non-interacting
EVI2B,0.113143076,Non-interacting
AKNAD1,0.113229524,Non-interacting
DEFB119,0.113229524,Non-interacting
MSGN1,0.113468801,Non-interacting
DKK4,0.113474317,Non-interacting
MAGT1,0.113537569,Non-interacting
CHMP3,0.113540115,Interacting
TTLL4,0.113540115,Non-interacting
OR4F5,0.113542475,Non-interacting
LNP1,0.113629495,Non-interacting
SATB1,0.11364012,Non-interacting
SLCO4C1,0.113682435,Non-interacting
ISLR2,0.113737874,Non-interacting
GLCCI1,0.113756631,Non-interacting
PRKRA,0.113756631,Interacting
CLEC1B,0.113819592,Interacting
PAGE4,0.113926358,Non-interacting
HPF1,0.114031801,Non-interacting
MROH2A,0.114039832,Non-interacting
ATP6V1H,0.114096709,Non-interacting
HGSNAT,0.114096709,Non-interacting
NFE2L2,0.114120805,Non-interacting
CYP11A1,0.114136396,Non-interacting
RPRD1A,0.114136396,Interacting
CEBPZ,0.114245305,Non-interacting
ALG9,0.114319858,Non-interacting
ARMC9,0.114358459,Non-interacting
MRPS33,0.114358459,Non-interacting
F7,0.114490299,Interacting
SLC6A14,0.114507293,Non-interacting
WDR31,0.114540939,Non-interacting
SUSD2,0.114589124,Non-interacting
RINT1,0.114726916,Non-interacting
DQX1,0.114814752,Interacting
USP6NL,0.114814752,Non-interacting
WDR97,0.114814752,Non-interacting
YIF1B,0.115047688,Non-interacting
AMBN,0.115145576,Non-interacting
RBBP7,0.115145576,Non-interacting
CRYL1,0.115151491,Non-interacting
ARMCX6,0.115181546,Non-interacting
CDC20B,0.115181546,Non-interacting
VIL1,0.115181546,Non-interacting
AGRP,0.11525984,Non-interacting
C5orf49,0.11547945,Non-interacting
RNF145,0.11547945,Non-interacting
TNNT1,0.115507823,Non-interacting
SENP2,0.115801578,Non-interacting
SLC43A3,0.115979516,Non-interacting
C16orf71,0.115990551,Non-interacting
OR14A2,0.115990551,Non-interacting
LRBA,0.116057221,Non-interacting
DDC,0.11609872,Non-interacting
DOK6,0.116110247,Non-interacting
SLC1A2,0.116180271,Non-interacting
SERPINH1,0.116218169,Interacting
FOXD4L1,0.116338793,Non-interacting
SOHLH2,0.116357196,Non-interacting
GPR82,0.116455575,Non-interacting
C1orf115,0.116541882,Non-interacting
ZNF550,0.116570327,Interacting
CHRNG,0.116680148,Non-interacting
C12orf50,0.11677227,Non-interacting
TRMT10A,0.116824529,Non-interacting
ADM,0.116948679,Non-interacting
SMCO3,0.116948679,Non-interacting
TSPYL6,0.116948679,Non-interacting
SEPSECS,0.11705136,Non-interacting
ADCYAP1,0.117195264,Non-interacting
KLHL24,0.117232899,Interacting
DTWD2,0.117248441,Non-interacting
FAM209A,0.117248441,Non-interacting
PCBP3,0.117269173,Non-interacting
RNF24,0.117269173,Non-interacting
TGM6,0.117269173,Non-interacting
C10orf126,0.11729566,Non-interacting
MIB1,0.11729566,Interacting
NSUN5,0.117384052,Non-interacting
NUP88,0.117384052,Non-interacting
NMU,0.117434084,Non-interacting
MRPS31,0.117438614,Non-interacting
OR3A1,0.117705314,Non-interacting
SELENOV,0.117813214,Non-interacting
GK5,0.117827741,Non-interacting
DCN,0.1179362,Interacting
NEIL2,0.117985675,Non-interacting
TWF1,0.117986117,Non-interacting
CYP19A1,0.118169848,Non-interacting
SHISA9,0.118295607,Non-interacting
FMO2,0.118602413,Non-interacting
FMO4,0.118602413,Non-interacting
TBC1D10B,0.118602413,Non-interacting
ZNF655,0.11864611,Non-interacting
RUFY3,0.118682026,Non-interacting
ACOX2,0.118698128,Non-interacting
ZNF333,0.118750952,Non-interacting
OR6M1,0.118765862,Interacting
SLC8B1,0.118765862,Non-interacting
TJAP1,0.118765862,Non-interacting
LMTK2,0.118800012,Interacting
CELA2A,0.118877365,Non-interacting
CHD5,0.119012423,Interacting
FXR1,0.119291737,Non-interacting
LYZ,0.11929846,Interacting
BEX4,0.119519332,Non-interacting
UBE2B,0.119531679,Interacting
DNAJC16,0.119635897,Non-interacting
SLC38A6,0.119635899,Non-interacting
SPDYE3,0.119635899,Non-interacting
FAM216A,0.119711508,Non-interacting
GAREM1,0.119711508,Non-interacting
FBXL22,0.11977365,Non-interacting
FER1L5,0.119878407,Non-interacting
RASIP1,0.119914978,Non-interacting
KL,0.119925749,Non-interacting
GPAM,0.119942585,Non-interacting
LGI2,0.120056258,Non-interacting
ADAMTS6,0.120059507,Non-interacting
KMO,0.120059507,Non-interacting
PPP6R3,0.120059507,Non-interacting
ZNF696,0.120059507,Non-interacting
SELP,0.120061451,Interacting
WWP1,0.120074797,Non-interacting
BEGAIN,0.120077737,Non-interacting
ALPL,0.120124374,Non-interacting
ROM1,0.120124374,Non-interacting
SCCPDH,0.120124374,Interacting
SLC25A39,0.120124374,Non-interacting
OGFR,0.120139064,Non-interacting
ANKRD29,0.120199832,Interacting
RNF114,0.120199832,Non-interacting
CCDC120,0.120645234,Non-interacting
PPAN,0.120645234,Non-interacting
CLEC4D,0.120805675,Interacting
TTI1,0.120934854,Non-interacting
STRA8,0.12096621,Non-interacting
OR10P1,0.121100161,Non-interacting
TUBB1,0.1213041,Interacting
PPM1H,0.121315555,Non-interacting
CCDC65,0.121444492,Non-interacting
CHRNA5,0.121444492,Interacting
SCNN1B,0.121444492,Non-interacting
MEP1A,0.121677735,Non-interacting
ADAT2,0.121717064,Non-interacting
SLC22A4,0.121837047,Non-interacting
JAK2,0.122322752,Interacting
TRPA1,0.122322752,Interacting
AFF3,0.12232888,Non-interacting
OR2W3,0.12232888,Non-interacting
DYNC1I2,0.122499747,Non-interacting
CORO2B,0.122572331,Non-interacting
PRKCA,0.122806887,Interacting
PRLH,0.122806887,Non-interacting
IGFL2,0.123158574,Non-interacting
SHCBP1,0.123187172,Non-interacting
AVPR1B,0.123192785,Non-interacting
BICD2,0.123192785,Non-interacting
TRIM42,0.123192785,Non-interacting
MFAP5,0.123364798,Non-interacting
LRR1,0.123375622,Non-interacting
CNNM4,0.123519413,Non-interacting
OR5F1,0.12356621,Non-interacting
TRIM2,0.123581417,Non-interacting
BCKDK,0.123761628,Non-interacting
MYO1D,0.123880661,Non-interacting
LMOD1,0.124172576,Non-interacting
SYT16,0.12432107,Non-interacting
SLC7A9,0.124490228,Non-interacting
TRIM75P,0.124490228,Interacting
SHROOM4,0.124551288,Non-interacting
MGLL,0.124577556,Interacting
ANKRD10,0.124583123,Interacting
SYTL3,0.124749652,Non-interacting
AGTPBP1,0.124947109,Non-interacting
C6orf226,0.124947109,Non-interacting
